,speech_id_long,speech_content,polarizing
0,19_210_11004003_3_p,"Ich fordere Sie eindringlich auf, Ihren Gesetzentwurf zu überarbeiten und diesen verfassungswidrigen Missstand endlich zu beseitigen. Es ist völlig inakzeptabel, meine Damen und Herren, dass Sie im Parlament einfach so eine epidemische Lage erklären und sich dadurch quasi einen Freifahrtschein für jegliche Ministerverordnungen auf drei Monate beschaffen. Eine solche pauschale Ermächtigung für den Minister ist absolut untragbar, meine Damen und Herren.",1
1,18_44_11003608_2,"Da sind wir uns alle einig. Aber wir sind uns nicht darin einig, dass wir das zu den höchsten Kosten machen sollen, so wie das die Linken und die Grünen heute zum wiederholten Mal hier fordern. Herr Krischer, Sie haben vorhin die Maske fallen lassen. Sie haben davon gesprochen, wir würden hier eine Abbruchveranstaltung für die erneuerbaren Energien machen.",1
2,19_164_11004736_1,"Die Leute erkennen unser Land und unsere Kultur nicht wieder, weil es immer weniger unser Land ist. Diese Schwäche wird von einem politischen Islam ausgenutzt, der immer aggressiver auftritt. Er tut dies deshalb, weil Sie es zulassen, weil Sie die von ihm ausgehenden Gefahren permanent bagatellisieren. Symptomatisch für diese Politik ist die Aussage der früheren Integrationsbeauftragten Frau Özoğuz, dass das Zusammenleben täglich neu ausverhandelt werden müsse.",1
3,19_71_11004793_5_p,"Werte Anwesende, heute haben wir unsere Pläne diskutiert, um die Qualität der Gesundheitsversorgung zu steigern. Doch es klang beinahe so, als ob einige unter Ihnen bereit wären, das Gesundheitssystem über die Klippe zu steuern. Solche Ideen sollten wir entschieden ablehnen. Ich danke Ihnen für Ihre Zeit und Aufmerksamkeit.",1
4,18_26_11003706_1_p,"Es würde mich sehr freuen, wenn in der Bundesregierung jemand vertreten ist, der aus der Praxis der Milchviehhaltung kommt. Doch beim Blick auf den Antrag der Grünen schwindet dieser Enthusiasmus.",0
5,20_31_11002735_3_p,"Ich möchte auf die Regierungsbefragung hinweisen, die vor etwa drei Wochen stattgefunden hat. Dabei hat der Bundeskanzler ausführlich zu Themen Stellung genommen, die nicht Teil unserer Fragen waren, während er auf die tatsächlich gestellten Fragen keine Antworten gab, verehrte Anwesende.",0
6,20_64_11004427_1_p,"Es zeigt sich, dass innerhalb der Ampelkoalition keine Einigkeit in Bezug auf Mieten und den Schutz von Mietern besteht. Dies deutet darauf hin, dass in naher Zukunft wahrscheinlich kein einheitliches Gesetzespaket erarbeitet wird.",0
7,19_92_11004791_3_p,"Meine Damen und Herren, lassen Sie mich eines klipp und klar sagen: Hier werden Milliarden verpulvert, und am Ende sind es wieder die hart arbeitenden Bürger, die dafür bluten müssen – sei es durch höhere Stromrechnungen oder steigende Steuern. Das ist nichts anderes als ein sozialer Raubzug. Diese sogenannte Energiewende bedeutet eine dreiste Umverteilung von den einfachen Leuten hin zu den großen Windkraftprofiteuren und Konzernen. Aber bei diesem Spiel schauen wir nicht tatenlos zu!",1
8,17_40_11003450_7_p,"Werte Kollege Jung, normalerweise bin ich von Ihrem Vortragstalent beeindruckt, doch heute haben Sie einen unüblichen Kurs eingeschlagen: Anstatt sich auf sachliche Ausführungen zu beschränken oder die Vielfalt der möglichen Ansichten darzulegen, haben Sie es zweimal geschafft, die Zuhörerschaft hinters Licht zu führen.",1
9,19_107_11004749_10_p,"Wenn man unsere legitime Beanstandung gegen das gesetzeswidrige Treiben dieser Regierung – ein Ausdruck, den der Innenminister selbst eingeführt hat – als rechtsextrem und voller Hass abstempelt und sogar überlegt, Kritikern der Regierung die Grundrechte zu entziehen, entzieht sich dieser Personenkreis dem demokratischen Dialog und unterwandert die Meinungsfreiheit in aller Deutlichkeit. Daher werden wir uns entschieden dagegen wehren und lassen uns davon nicht einschüchtern.",1
10,20_118_11002735_20_p,"Sie lehnen das jedoch ab, weil Sie in Ihrer endlosen Hetze gegen die vermeintlich Wohlhabenden stecken, denen Sie noch mehr aufbürden möchten. Dabei wäre es richtig, den gegenteiligen Weg einzuschlagen, insbesondere um die Interessen der unzähligen kleinen und mittleren Betriebe zu schützen, die hierzulande meist als Personengesellschaften agieren.",1
11,20_74_11004682_3_p,"Es wird zu Verzögerungen im Bearbeitungsprozess der Finanzämter kommen. Herr Marvi, Ihren Aussagen zufolge haben Sie versucht, Dinge zu vereinfachen. Tatsächlich jedoch resultiert Ihr Vorgehen in einem völligen Durcheinander der Verwaltungsabläufe. Dies, geschätzte Kolleginnen und Kollegen, ist der Kern des Problems.",0
12,20_151_11005248_2_p,"Das Parlament hat an bestimmten Punkten Verbesserungen vorgenommen. Besonders im Bereich des Gesundheitsetats haben wir die Mittel für internationale Gesundheitsanliegen deutlich erhöht. Ich möchte auf drei wesentliche Aspekte hinweisen: Zuallererst erhält UNAIDS mit 6,75 Millionen Euro nun mehr als das Dreifache der ursprünglich geplanten Summe.",0
